product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,weekday,weekend,holiday,month,year,s,volume,comp_1,fp1,comp_2,fp2,comp_3,fp3,lag_price,lag_ps1,lag_ps2,lag_ps3,lag_total_price,lag_customers,lag_product_score,lag_qty,total_price_log,mean_prev_price,var_prev_price
computers2,computers_accessories,2018-08-01,2,155.8,13.415,77.9,33,256,1,180,23,8,1,8,2018,1.176470588,2210,119.99,39.046,149.9,24.76,77.9,13.415,77.9,4.2,4.3,3.5,545.3,43.0,3.5,7.0,5.048573133436648,7.280646467150897,0.6870328251358733
garden9,garden_tools,2017-09-01,23,1377.7,18.64347826,59.9,58,340,2,1500,21,9,1,9,2017,10.55045872,19800,59.9,17.18702703,59.9,16.81176471,59.9,16.29461538,59.9,4.1,4.2,4.1,1257.9,113.0,4.0,21.0,7.228170721050553,6.512345667890419,0.5986498262053014
computers2,computers_accessories,2018-07-01,7,545.3,14.63857143,77.9,33,256,1,180,22,9,1,7,2018,4.117647059,2210,119.99,48.62666667,149.9,33.57153846,77.9,14.63857143,78.9,4.2,4.3,3.5,789.0,66.0,3.5,10.0,6.301336101932016,7.443864861354044,0.6006613388305156
health1,health_beauty,2018-06-01,2,169.98,22.08,84.99,49,1495,3,600,21,9,0,6,2018,7.692307692,8151,23.99,16.27,79.99,13.36230769,58.99,16.43,84.94,4.3,4.1,3.9,339.96,169.0,3.8,4.0,5.13568078307048,6.408251558389448,0.3476011620086519
health9,health_beauty,2017-12-01,19,455.81,12.45684211,23.99,48,575,1,100,21,10,1,12,2017,8.444444444,4500,23.99,12.45684211,89.99,15.89473684,58.99,16.33222222,23.99,4.3,4.1,3.9,671.72,139.0,4.3,28.0,6.122076056018043,5.581009990759466,0.6938650091713899
bed1,bed_bath_table,2017-12-01,6,239.94,15.23,39.99,39,161,2,350,21,10,1,12,2017,16.66666667,3800,88.48823529,18.89833333,39.99,15.23,39.99,15.23,40.53181818,3.9,4.0,4.0,445.85,97.0,4.0,11.0,5.480388892086782,5.637971150792266,0.7217081485335275
health5,health_beauty,2017-11-01,11,3543.5,20.47818182,322.1363636,51,625,1,900,22,8,4,11,2017,17.1875,11400,23.99,12.37535714,89.99,16.99038462,58.99,15.71166667,349.9,4.3,4.1,3.9,3499.0,81.0,4.3,10.0,8.17287021825031,7.625589155265534,0.7805722929187823
bed2,bed_bath_table,2018-05-01,26,2174.89,16.78038462,83.64961538,54,245,1,1383,23,8,3,5,2018,18.23424443,20000,83.64961538,16.78038462,83.64961538,16.78038462,39.99,10.25631579,85.045,3.9,3.9,4.0,510.27,34.0,3.9,6.0,7.684733367531196,7.219058521333754,1.11239927809608
watches3,watches_gifts,2017-08-01,5,390.0,18.22,78.0,59,319,4,250,23,8,1,8,2017,21.97670435,640,160.6692308,15.18538462,78.0,18.22,179.9,14.92666667,78.0,4.2,3.9,3.8,78.0,29.0,3.9,1.0,5.966146739123692,5.859739286781771,2.3056437047845986
health7,health_beauty,2017-05-01,16,1039.84,14.811875,64.99,59,492,2,200,23,8,1,5,2017,8.142857143,3960,19.99,14.8475,89.99,16.09833333,64.99,14.811875,64.99,4.3,3.9,3.9,584.91,23.0,3.9,9.0,6.946822134146038,6.017698703928405,0.6506157253785501
health7,health_beauty,2018-02-01,14,825.86,19.575,58.99,59,492,2,200,20,8,2,2,2018,13.92857143,3960,23.99,12.55,89.99,16.30764706,58.99,19.575,58.99,4.3,4.1,3.9,353.94,98.0,3.9,6.0,6.7164252676302425,5.275677381163217,0.9117097985856641
computers4,computers_accessories,2017-09-01,11,1679.89,43.72272727,151.99,59,1893,1,6550,21,9,1,9,2017,11.45833333,8000,151.99,43.72272727,151.99,43.72272727,151.99,43.72272727,145.7042857,4.2,4.2,4.2,1019.93,15.0,4.2,7.0,7.426483594063169,7.400844489377852,1.0546983153267395
garden10,garden_tools,2017-09-01,17,1018.3,16.81176471,59.9,59,341,2,1750,21,9,1,9,2017,7.762557078,32560,59.9,17.18702703,59.9,16.81176471,59.9,16.29461538,59.9,4.1,4.2,4.1,1617.3,113.0,4.2,27.0,6.9258898491776195,6.62555059231394,0.7707534597092689
bed2,bed_bath_table,2018-07-01,10,781.3,19.952,77.93333333,54,245,1,1383,22,9,1,7,2018,12.26279596,20000,77.93333333,19.952,77.93333333,19.952,39.99,20.4175,79.9,3.9,3.9,4.0,1837.7,43.0,3.9,23.0,6.660959199002698,7.498086473733682,0.9557439174922915
furniture2,furniture_decor,2017-12-01,47,3525.0,17.44638298,75.0,44,903,6,2600,21,10,1,12,2017,41.22807018,15000,75.0,17.44638298,75.0,17.44638298,99.9,20.64666667,75.0,4.1,3.7,4.4,3300.0,64.0,4.1,44.0,8.16763571524637,7.158084362865328,2.2334649046455364
health3,health_beauty,2018-03-01,9,998.91,38.19222222,110.99,50,1257,1,700,22,9,1,3,2018,5.769230769,5700,23.99,14.19875,83.74,11.876875,58.99,15.228,110.99,4.3,4.1,3.9,221.98,126.0,4.1,2.0,6.906664684500107,5.056013697443861,0.24022650695909986
health5,health_beauty,2017-05-01,4,1399.6,26.73,349.9,51,625,1,900,23,8,1,5,2017,8.559782609,11400,19.99,14.8475,89.99,16.09833333,64.99,14.811875,349.9,4.3,4.3,3.9,349.9,23.0,4.3,1.0,7.2439417604935326,7.624017827793819,1.0125410546659466
garden4,garden_tools,2017-07-01,13,778.7,15.39230769,59.9,57,366,2,1650,21,10,1,7,2017,4.072301967,19800,59.9,16.62642857,59.9,16.11157895,59.9,15.39230769,59.85,4.1,4.2,4.1,778.7,74.0,4.1,13.0,6.6576258625829405,7.2881839734315,0.1587320820132247
health10,health_beauty,2018-07-01,5,257.56,14.368,51.512,40,409,1,1110,22,9,1,7,2018,3.225806452,3762,23.99,18.81,79.99,16.745,58.99,7.67,49.98,4.3,4.1,3.9,449.82,131.0,4.2,9.0,5.5512527026699825,7.05527589554264,0.47348822693188186
health9,health_beauty,2018-05-01,7,167.93,7.988571429,23.99,48,575,1,100,23,8,3,5,2018,9.805555556,4500,23.99,7.988571429,79.99,21.943125,58.99,9.4225,23.94,4.3,4.1,3.9,191.92,169.0,4.3,8.0,5.123547225906917,5.58706222927164,0.1124300646326537
health9,health_beauty,2017-07-01,29,579.71,11.13517241,19.99,48,575,1,100,21,10,1,7,2017,9.123015873,4500,19.99,11.13517241,89.99,12.11882353,59.25666667,17.998,19.99,4.3,4.1,3.9,419.79,53.0,4.3,21.0,6.3625279784987825,5.454898678256384,0.2931016930890817
health1,health_beauty,2017-09-01,4,339.96,15.6,84.99,49,1495,3,600,21,9,1,9,2017,4.166666667,8151,23.99,16.12,89.99,13.96428571,58.99,15.6392,84.99,4.3,4.1,3.9,254.97,82.0,3.8,3.0,5.828827963630426,5.9803162698834935,0.5377169711447363
bed2,bed_bath_table,2018-06-01,23,1837.7,23.00565217,79.9,54,245,1,1383,21,9,0,6,2018,16.08743907,20000,79.9,23.00565217,79.9,23.00565217,39.99,13.998,83.64961538,3.9,3.9,4.0,2174.89,57.0,3.9,26.0,7.516270068701378,7.386772511240314,1.0211128621411798
garden3,garden_tools,2018-07-01,5,499.95,44.232,99.99,47,1893,1,6050,22,9,1,7,2018,5.204951299,8000,49.91,28.37333333,49.9,33.28142857,49.9,20.99,96.65666667,4.1,4.2,4.1,969.9,58.0,4.1,10.0,6.214508093421858,6.345659255150274,0.7835407099987741
watches2,watches_gifts,2018-01-01,8,1188.0,14.165,148.5,35,591,3,444,23,8,2,1,2018,11.11111111,4480,148.5,14.165,108.0,16.19636364,199.0,21.88,149.0,4.2,4.2,3.8,894.0,73.0,4.0,6.0,7.08002649992259,0.0,0.0
bed4,bed_bath_table,2018-03-01,8,383.2,15.22625,47.9,38,735,5,800,22,9,1,3,2018,13.79310345,8000,86.9,19.98235294,47.9,15.22625,39.99,16.46235294,45.9,3.9,4.2,4.0,734.4,62.0,4.2,16.0,5.948557046096705,6.684978967769609,0.014766255402879375
bed2,bed_bath_table,2017-06-01,51,4584.9,14.76921569,89.9,54,245,1,1383,22,8,1,6,2017,16.08743907,20000,89.9,14.76921569,209.0,21.322,45.95,12.93333333,89.9,3.9,4.4,4.0,5214.2,57.0,3.9,58.0,8.4305235742019,7.270800170911248,0.9974441530430714
garden2,garden_tools,2018-01-01,1,49.9,35.86,49.9,59,341,2,1850,23,8,2,1,2018,4.166666667,32560,49.9,19.495,49.9,15.84103448,49.9,16.50512821,49.9,4.1,4.2,4.1,49.9,184.0,4.3,1.0,3.910021002757473,0.0,0.0
garden6,garden_tools,2018-03-01,31,1670.9,20.35967742,53.9,56,348,2,1550,22,9,1,3,2018,14.90384615,19800,53.9,20.35967742,53.9,21.85285714,53.9,19.02423077,50.54516129,4.1,4.2,4.1,1970.1,160.0,4.1,39.0,7.421117682400098,6.9903836172052545,0.7091356116978224
garden5,garden_tools,2017-11-01,17,1683.0,32.86352941,99.0,36,450,1,9000,22,8,4,11,2017,16.19047619,19656,52.40694444,17.06747253,53.64828125,16.07586207,53.78571429,18.27550725,99.0,4.1,4.2,4.1,1386.0,146.0,4.1,14.0,7.428333194190806,6.130648665450124,0.928853038923831
garden2,garden_tools,2018-04-01,2,107.8,33.93,53.9,59,341,2,1850,21,9,1,4,2018,6.593851133,32560,53.9,5.28173913,53.9,19.46846154,53.9,19.07142857,53.9,4.1,4.2,4.1,107.8,116.0,4.3,2.0,4.680277658474896,4.90214259086606,0.6149641280012434
garden8,garden_tools,2017-04-01,3,539.97,36.64333333,179.99,33,2188,2,7650,20,10,2,4,2017,10.80128205,8000,179.99,36.64333333,179.99,36.64333333,179.99,36.64333333,179.94,4.2,4.2,4.2,179.99,3.0,4.2,1.0,6.291513582459498,7.117632932853639,1.6537238983134905
health6,health_beauty,2018-06-01,26,1741.74,30.24153846,66.99,50,1257,1,350,21,9,0,6,2018,17.33333333,2964,23.99,16.27,79.99,13.36230769,58.99,16.43,64.99,4.3,4.1,3.9,2469.62,159.0,3.9,38.0,7.462639892541658,6.652902748549603,1.144820406026911
bed1,bed_bath_table,2017-06-01,3,137.85,12.93333333,45.95,39,161,2,350,22,8,1,6,2017,6.503115265,3800,89.9,14.76921569,209.0,21.322,45.95,12.93333333,45.95,3.9,4.4,4.0,45.95,57.0,4.0,1.0,4.926166137469806,6.074685563473689,1.2318940642638285
bed1,bed_bath_table,2018-06-01,5,199.95,13.998,39.99,39,161,2,350,21,9,0,6,2018,6.503115265,3800,79.9,23.00565217,39.99,13.998,39.99,13.998,39.99,3.9,4.0,4.0,759.81,57.0,4.0,19.0,5.298067335292827,5.910611359758848,1.2150207971591362
consoles2,consoles_games,2018-01-01,10,271.2,13.319,27.03333333,56,237,3,100,23,8,2,1,2018,41.66666667,2304,27.03333333,13.319,27.03333333,13.319,27.03333333,13.319,24.5,4.2,3.9,3.9,416.5,30.0,3.9,17.0,5.60285655606624,0.0,0.0
garden4,garden_tools,2018-08-01,6,299.4,32.32,49.9,57,366,2,1650,23,8,1,8,2018,7.387028177,19800,49.91,20.32833333,49.9,36.442,49.9,32.32,49.9,4.1,4.2,4.1,149.7,54.0,4.1,3.0,5.701780471985527,6.958170412849785,0.6763795365009538
furniture2,furniture_decor,2018-04-01,83,5801.7,9.071566265,69.9,44,903,6,2600,21,9,1,4,2018,20.0968523,15000,69.9,9.071566265,35.0,13.46941176,99.9,23.32769231,69.9,4.1,3.7,4.4,4543.5,83.0,4.1,65.0,8.665906257036362,8.501663423203778,0.2654492172151453
garden8,garden_tools,2018-08-01,7,973.0,73.59,139.0,33,2188,2,7650,23,8,1,8,2018,8.974358974,8000,49.91,20.32833333,49.9,36.442,49.9,32.32,139.0,4.1,4.2,4.1,1112.0,54.0,4.2,8.0,6.880384082186005,7.002081028560761,0.8136232936479947
watches5,watches_gifts,2017-12-01,28,6287.2,17.48678571,224.5428571,42,236,1,342,21,10,1,12,2017,42.42424242,3510,149.0,19.1,108.0,16.65384615,185.96,18.686,203.2909091,4.2,4.2,3.8,2395.2,91.0,4.1,12.0,8.746271099551965,7.852937459175458,0.09462380153920905
garden1,garden_tools,2017-03-01,5,499.95,31.946,99.99,58,1893,1,5950,23,8,1,3,2017,8.551020408,8000,99.99,31.946,99.99,31.946,99.99,31.946,99.99,4.3,4.3,4.3,99.99,3.0,4.3,1.0,6.214508093421858,6.195421551530988,1.9630625568133375
garden6,garden_tools,2018-02-01,39,1970.1,16.61153846,50.54516129,56,348,2,1550,20,8,2,2,2018,18.75,19800,50.54516129,16.61153846,50.9,17.51944444,50.35714286,18.281875,49.9,4.1,4.2,4.1,598.8,137.0,4.1,12.0,7.585839581865036,6.394927652545473,0.0
watches1,watches_gifts,2018-01-01,2,398.0,21.88,199.0,35,514,2,4338,23,8,2,1,2018,1.834862385,2856,199.0,21.88,108.0,16.19636364,199.0,21.88,185.96,4.2,4.2,3.8,929.8,73.0,3.8,5.0,5.986452005284438,0.0,0.0
watches1,watches_gifts,2018-06-01,15,2073.3,16.108,138.22,35,514,2,4338,21,9,0,6,2018,9.821910416,2856,119.0,19.20666667,105.0,23.82357143,138.22,16.108,132.53125,4.2,4.2,3.8,4241.0,260.0,3.8,32.0,7.636896819765458,7.199831982546302,0.7090310751059834
garden5,garden_tools,2017-12-01,11,1089.0,38.05545455,99.0,36,450,1,9000,21,10,1,12,2017,10.47619048,19656,55.1,15.75960784,55.425,19.184375,55.75,17.26727273,99.0,4.1,4.2,4.1,1683.0,339.0,4.1,17.0,6.9930151229329605,6.230470552276331,0.9809859371775826
garden5,garden_tools,2017-08-01,7,683.0,39.5,97.33333333,36,450,1,9000,23,8,1,8,2017,6.666666667,19656,59.9,18.16230769,59.9,17.68111111,59.9,18.05043478,89.0,4.1,4.2,4.1,890.0,74.0,4.1,10.0,6.52649485957079,5.890529724290006,0.9857698502848655
cool1,cool_stuff,2017-12-01,3,299.97,15.26666667,99.99,54,1012,1,1200,21,10,1,12,2017,2.702702703,15750,99.99,15.26666667,129.99,25.59,99.99,15.26666667,99.99,4.2,4.3,4.2,399.96,42.0,4.2,4.0,5.703682469655868,6.318835271328091,0.9690947703057572
health10,health_beauty,2018-03-01,58,2809.65,12.56344828,48.45944444,40,409,1,1110,22,9,1,3,2018,37.41935484,3762,23.99,14.19875,83.74,11.876875,58.99,15.228,47.35789474,4.3,4.1,3.9,994.04,126.0,4.2,21.0,7.940815199410011,6.901777447295601,0.0
furniture2,furniture_decor,2017-07-01,5,375.0,15.856,75.0,44,903,6,2600,21,10,1,7,2017,2.435113207,15000,75.0,15.856,38.4,7.78,75.0,15.856,74.95,4.1,3.7,4.1,375.0,5.0,4.1,5.0,5.926926025970411,8.021932645829002,2.0406625084640675
health9,health_beauty,2017-04-01,13,259.87,18.03846154,19.99,48,575,1,100,20,10,2,4,2017,5.777777778,4500,19.99,18.03846154,19.99,18.03846154,64.99,15.16888889,19.99,4.3,4.1,3.9,179.91,25.0,4.3,9.0,5.560181505973845,5.55628664563511,0.1591121113250517
